항목,시점,이용행태별(1),만60-69세,만70세이상
그렇지 않다 (%),2025,"구글, 네이버 등 인터넷 검색엔진에서 검색어 사용하여 정보검색 가능 정도",8.0,54.300000000000004
그렇지 않다 (%),2025,디스플레이/소리/보안/알람/입력방법 등의 환경설정 가능 정도,24.2,72.9
그렇지 않다 (%),2025,모바일 뱅킹 등 금융거래 가능 정도,18.200000000000003,75.89999999999999
그렇지 않다 (%),2025,무선 네트워크 설정 가능 정도,14.600000000000001,61.1
그렇지 않다 (%),2025,문서나 자료 작성 가능 정도,55.7,90.8
그렇지 않다 (%),2025,쇼핑 및 공연 등 예약/예매 가능 정도,36.2,85.6
그렇지 않다 (%),2025,수신된 이메일 열람 및 확인 가능 정도,42.3,86.19999999999999
그렇지 않다 (%),2025,스팸문자나 피싱문자 등 위험한 문자 구분 및 차단 방법 인지 정도,49.3,88.3
그렇지 않다 (%),2025,이메일 작성하여 타인에게 발송 가능 정도,48.2,88.3
그렇지 않다 (%),2025,인스턴트 메신저 작성하여 타인에게 발신 가능 정도,2.5,35.5
그렇지 않다 (%),2025,인스턴트 메신저상 사진 및 문서 등 타인에게 전송 가능 정도,4.4,42.8
그렇지 않다 (%),2025,파일을 컴퓨터로 이동 가능 정도,52.400000000000006,89.60000000000001
그렇지 않다 (%),2025,필요한 애플리케이션 설치/삭제/업데이트 가능 정도,40.3,83.89999999999999
그렇지 않다 (%),2025,휴대폰 문자메시지 작성하여 타인에게 발신 가능 정도,1.8,32.1
